report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,crime_occurred,age_group
1,2020-01-02,2020-01-01,01:11:00,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,Null,Night,Teenager
2,2020-01-01,2020-01-01,06:26:00,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,Null,Morning,Adult
3,2020-01-02,2020-01-01,14:30:00,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,Null,Afternoon,Adult
4,2020-01-01,2020-01-01,14:46:00,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,29-04-2020,Afternoon,Adult
5,2020-01-01,2020-01-01,16:51:00,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,08-01-2020,Afternoon,Adult
6,2020-01-02,2020-01-01,17:09:00,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,30-03-2020,Evening,Teenager
7,2020-01-01,2020-01-01,14:08:00,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,24-03-2020,Afternoon,Senior-Citizen
8,2020-01-02,2020-01-01,06:33:00,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,Null,Morning,Senior-Citizen
9,2020-01-04,2020-01-01,06:34:00,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,Null,Morning,Adult
10,2020-01-03,2020-01-01,17:50:00,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,Null,Evening,Adult
11,2020-01-02,2020-01-01,19:42:00,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,01-02-2020,Evening,Senior-Citizen
12,2020-01-03,2020-01-01,22:16:00,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,Null,Night,Adult
13,2020-01-01,2020-01-01,23:14:00,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,29-02-2020,Night,Adult
14,2020-01-02,2020-01-01,17:46:00,Mumbai,436,ASSAULT,32,X,Unknown,Violent Crime,18,No,Null,Evening,Adult
15,2020-01-02,2020-01-01,22:28:00,Bangalore,266,SEXUAL ASSAULT,77,F,Unknown,Violent Crime,19,No,Null,Night,Senior-Citizen
